Date          Open          High          Low          Last          Change          Settle          Volume          Previous Day Open Interest
2017-08-22       47.45       48.03       47.2       47.65       0.27       47.64       28373.0       25636.0
2017-08-21       48.72       48.75       47.03       47.4       1.14       47.37       124355.0       62446.0
2017-08-18       46.93       48.74       46.78       48.73       1.42       48.51       247019.0       96943.0
2017-08-17       46.8       47.19       46.46       46.93       0.31       47.09       596093.0       161590.0
2017-08-16       47.72       47.99       46.67       46.77       0.77       46.78       800218.0       205139.0
2017-08-15       47.49       47.9       47.02       47.71       0.04       47.55       756036.0       266238.0
2017-08-14       48.79       49.16       47.43       47.5       1.23       47.59       749305.0       288171.0
2017-08-11       48.52       48.98       47.98       48.79       0.23       48.82       777628.0       322477.0
2017-08-10       49.68       50.22       48.35       48.51       0.97       48.59       1113414.0       364643.0
2017-08-09       49.0       49.72       48.9       49.7       0.39       49.56       833865.0       411744.0
